index,fish-a1-002,fish-a2-029,fish-b1-158,fish-b2-171,fish-c1-008,fish-c2-018,larvae-18BG,larvae-23BGD
110,0.011673,0.034884,0.016129,0.02454,0.008696,0.00722,0.017857,0
111,0.016949,0.008584,0.016393,0.022059,0.011811,0.01278,0,0.025641
112,0,0.004274,0.005618,0.014815,0.00692,0,0.010638,0
113,0.007229,0.027508,0.013289,0.004444,0.019956,0.008097,0.01,0.020408
114,0.004926,0.025707,0.006494,0,0.032468,0.017316,0.02,0
115,0.016,0.019231,0,0,0.023256,0.04902,0,0.05
116,0,0,0,0,0.026316,0,0,0
117,0,0.007194,0,0,0,0,0,0
118,0.875,0.831884,0.652174,0.818792,0.836066,0.736,0.971429,0.833333
119,0.918478,0.851282,0.511905,0.853503,0.921687,0.820359,0.973684,0.931034
120,0.911765,0.921147,0.573561,0.852507,0.897397,0.844136,0.945578,0.912088
121,0.70319,0.809683,0.266055,0.552106,0.66778,0.676174,0.832599,0.824818
122,0.778285,0.771445,0.604839,0.752981,0.653827,0.615808,0.867036,0.796117
123,0.661088,0.738333,0.523156,0.74677,0.530269,0.552093,0.883721,0.82
124,0.689243,0.73221,0.605,0.762238,0.647577,0.488889,0.860215,0.90566
125,0.719298,0.705769,0.575758,0.737226,0.626794,0.523013,0.894118,0.884615
126,0.697561,0.731111,0.607362,0.719298,0.589474,0.545894,0.851852,0.823529
127,0.630435,0.705128,0.451389,0.78,0.585034,0.54717,0.714286,0.805556
128,0.542299,0.48563,0.367876,0.417323,0.565414,0.648216,0.934426,0.896552
129,0.462049,0.449367,0.31068,0.335079,0.492225,0.565645,0.860465,0.850575
130,0.24505,0.304154,0.185792,0.22,0.225,0.334091,0.804233,0.73494
131,0.559524,0.425414,0.44,0.333333,0.32,0.25,0.87234,0.733333
132,0.628319,0.365854,0.625,0.555556,0.62,0.546875,0.5,0.428571
133,0.723519,0.568817,0.713626,0.71521,0.609108,0.577617,0.362319,0.466165
134,0.810147,0.620623,0.730223,0.811209,0.663987,0.629338,0.618834,0.597222
135,0.908587,0.717282,0.891501,0.928191,0.836218,0.711082,0.797872,0.832298
136,0.892427,0.840648,0.813187,0.877551,0.856246,0.786585,0.585714,0.594488
137,0.896651,0.877353,0.830657,0.930097,0.899508,0.837723,0.911964,0.896104
138,0.819706,0.728691,0.635628,0.821429,0.656716,0.497826,0.726619,0.733333
139,0.72,0.727273,0.695652,0.87931,0.583333,0.529412,0.979592,0.954545
140,0.791667,0.734884,0.722222,0.833333,0.65,0.555556,0.9,0.857143
141,0.8,0.751479,0.869565,0.891892,0.666667,0.444444,1,0.913043
142,0.901176,0.897243,0.815789,0.823755,0.904051,0.916844,0.625,0.626506
143,0.715356,0.63997,0.504318,0.489607,0.695952,0.754792,0.599206,0.635762
144,0.830583,0.80915,0.718289,0.703934,0.834862,0.836571,0.854237,0.850829
145,0.66266,0.579,0.403651,0.415361,0.610276,0.618389,0.800847,0.81685
146,0.808874,0.792079,0.653846,0.828571,0.73854,0.320721,0.858025,0.871795
147,0.784091,0.712,0.684211,0.784615,0.56,0.541667,0.875,0.741935
148,0.805274,0.717161,0.752747,0.816609,0.748503,0.830123,0.581699,0.552083
149,0.832027,0.764834,0.822785,0.866228,0.725748,0.699726,0.563636,0.547826
150,0.522727,0.567227,0.439252,0.511364,0.531915,0.457143,0.5,0.5
151,0.954545,0.950413,0.961538,0.983607,1,0.956522,0.958333,0.962963
152,0.909091,0.953191,0.958824,0.951049,0.92029,0.929688,0.979381,0.977778
153,0.943101,0.91784,0.888136,0.964912,0.888009,0.881033,0.937778,0.950704
154,0.917808,0.887668,0.844015,0.924125,0.875923,0.83126,0.944282,0.942308
155,0.839858,0.853389,0.811512,0.909402,0.822453,0.769432,0.96882,0.966912
156,0.896622,0.847619,0.822193,0.906067,0.8502,0.787855,0.911483,0.906504
157,0.736,0.747532,0.721014,0.867257,0.72591,0.662338,0.815789,0.830986
158,0.680203,0.748166,0.708571,0.808511,0.647321,0.538889,0.928571,0.8125
159,0.675862,0.711039,0.601351,0.616071,0.543478,0.514851,0.909091,0.846154
160,0.708955,0.742647,0.633588,0.677778,0.553719,0.506024,0.761905,0.736842
161,0.828877,0.896154,0.955752,0.94382,0.925743,0.92,0.591549,0.869565
162,0.938406,0.922693,0.915493,0.944056,0.945559,0.930693,0.825688,0.9375
163,0.947573,0.945013,0.936538,0.965278,0.950324,0.952677,0.719048,0.885246
164,0.941818,0.933174,0.932971,0.923588,0.944388,0.928251,0.692982,0.854962
165,0.942105,0.942263,0.966252,0.974522,0.952195,0.933696,0.844828,0.898551
166,0.909763,0.925532,0.909091,0.927978,0.918826,0.866729,0.82377,0.938776
167,0.921429,0.902713,0.888169,0.95664,0.906352,0.826786,0.832653,0.924138
168,0.866667,0.819835,0.817829,0.926316,0.740519,0.666667,0.684685,0.724638
169,0.816901,0.769231,0.711864,0.888889,0.578947,0.439024,0.84375,0.681818
170,0.89759,0.937322,0.923977,0.976,0.905172,0.88,0.934211,0.815789
171,0.757463,0.817121,0.878676,0.859551,0.669014,0.846405,0.870968,0.862745
172,0.840625,0.885852,0.905363,0.910891,0.775068,0.841727,0.457944,0.910714
173,0.894309,0.933526,0.951841,0.964286,0.883772,0.911937,0.901639,0.909091
174,0.875325,0.913043,0.924581,0.902128,0.803347,0.845574,0.906977,0.835616
175,0.893191,0.883074,0.873147,0.899244,0.846672,0.794851,0.905579,0.882353
176,0.839357,0.762286,0.756839,0.854599,0.692192,0.563973,0.846512,0.858268
177,0.851351,0.77013,0.786441,0.840136,0.685662,0.600868,0.892655,0.891892
178,0.648889,0.717703,0.646341,0.736842,0.522727,0.398844,0.72043,0.737705
179,0.928826,0.859086,0.89172,0.929936,0.853168,0.804207,0.92233,0.892157
180,0.910638,0.896552,0.90027,0.908377,0.881007,0.855247,0.832143,0.85443
181,0.575581,0.555281,0.466135,0.650538,0.428854,0.352941,0.634961,0.618257
182,0.679518,0.606789,0.604651,0.59292,0.588123,0.606977,0.572368,0.722772
183,0.894549,0.86217,0.888119,0.924272,0.843844,0.792754,0.792608,0.825
184,0.71416,0.658509,0.678128,0.709924,0.568718,0.595136,0.527725,0.491639
185,0.715661,0.696167,0.725604,0.836576,0.612568,0.644434,0.6673,0.607018
186,0.816081,0.8213,0.79334,0.806706,0.731306,0.69358,0.819149,0.832714
187,0.813594,0.784974,0.681761,0.862745,0.679154,0.618962,0.793201,0.805
188,0.725971,0.747212,0.557229,0.802752,0.611418,0.453184,0.587413,0.611111
189,0.744526,0.745731,0.543478,0.863309,0.556863,0.457983,0.351351,0.448276
190,0.741667,0.751527,0.551136,0.857143,0.613043,0.485577,0.419355,0.37931
191,0.852535,0.864693,0.920635,0.894366,0.840164,0.834171,0.858824,0.961538
192,0.903199,0.8823,0.878844,0.914596,0.832033,0.805748,0.908108,0.887043
193,0.856095,0.834974,0.775984,0.876543,0.752667,0.63207,0.930526,0.902174
194,0.704415,0.695399,0.656292,0.74,0.585682,0.55162,0.853763,0.8
195,0.801358,0.81412,0.86014,0.860825,0.746988,0.718857,0.860465,0.856
196,0.787273,0.780579,0.71243,0.845506,0.665242,0.65119,0.815451,0.794393
197,0.80829,0.779559,0.695,0.867133,0.666667,0.53125,0.766667,0.72973
198,0.834286,0.862385,0.838583,0.848485,0.829876,0.823188,0.946809,0.878378
199,0.93311,0.908444,0.776,0.87988,0.890135,0.875,0.934911,0.954955
200,0.879391,0.809725,0.558468,0.780851,0.763604,0.784168,0.892857,0.901478
201,0.859583,0.772894,0.48722,0.717241,0.679883,0.735831,0.882793,0.866397
202,0.825714,0.739634,0.450158,0.688928,0.652027,0.711913,0.861314,0.839357
203,0.765698,0.668342,0.3974,0.6234,0.588901,0.602527,0.84009,0.847826
204,0.729039,0.687885,0.309813,0.552529,0.587842,0.585799,0.797101,0.826923
205,0.795111,0.690476,0.398022,0.628062,0.597781,0.582981,0.839695,0.825843
206,0.732771,0.624204,0.506579,0.625683,0.490732,0.566285,0.852041,0.905512
207,0.9,0.931034,0.918367,0.931818,0.833333,0.807692,0.125,0.411765
208,0.970588,0.931034,0.932203,0.945455,0.903226,0.916667,0.173913,0.238095
209,0.9375,0.925101,0.925373,0.959391,0.918519,0.909894,0.651163,0.606061
210,0.876254,0.886617,0.915567,0.933014,0.862013,0.834437,0.271186,0.210526
211,0.87234,0.403846,0.443936,0.912442,0.406045,0.807353,0.102041,0.202128
212,0.920918,0.907984,0.910638,0.942857,0.873827,0.823681,0.21466,0.198347
213,0.909292,0.895933,0.880952,0.928302,0.830882,0.786041,0.342857,0.23622
214,0.945783,0.866295,0.910112,0.916667,0.814815,0.885714,0.942308,1
215,0.954861,0.918773,0.945783,0.9625,0.93311,0.924107,0.942029,0.959184
216,0.980066,0.9046,0.92,0.947977,0.929012,0.902439,0.986486,0.979592
217,0.888889,0.822847,0.699104,0.798932,0.740342,0.759259,0.95679,0.964602
218,0.853229,0.8125,0.698241,0.783835,0.731824,0.720539,0.98,0.947368
219,0.763693,0.76313,0.490909,0.768072,0.614355,0.625821,0.818182,0.858586
220,0.74735,0.77458,0.613995,0.818505,0.69163,0.630864,0.902439,0.833333
221,0.559633,0.680365,0.444444,0.584615,0.414634,0.530864,0.8,0.681818
222,0.92,0.857143,0.6625,0.780822,0.875,0.818182,0.804348,0.722222
223,0.95814,0.91924,0.759259,0.883495,0.886598,0.868852,0.913793,0.86
224,0.937282,0.913628,0.844156,0.899281,0.895425,0.861538,0.844156,0.836066
225,0.803125,0.730357,0.584337,0.565217,0.811518,0.79661,0.862069,0.852941
226,0.920405,0.885274,0.805288,0.903047,0.85913,0.880058,0.793103,0.746753
227,0.733184,0.688172,0.48227,0.59919,0.676502,0.707411,0.787425,0.806763
228,0.723817,0.655189,0.513917,0.580966,0.693431,0.662424,0.82449,0.759615
229,0.755935,0.727961,0.471002,0.675787,0.642955,0.668556,0.896309,0.88169
230,0.752878,0.725112,0.454628,0.681058,0.586703,0.617968,0.788927,0.745205
231,0.499497,0.491131,0.337004,0.413919,0.473282,0.500279,0.652819,0.615044
232,0.627753,0.593668,0.401973,0.584646,0.551181,0.560807,0.692833,0.683938
233,0.621723,0.558419,0.268182,0.52514,0.427835,0.366197,0.623188,0.645833
234,0.66877,0.657895,0.575163,0.554795,0.701342,0.717742,0.873874,0.869565
235,0.870192,0.787958,0.748744,0.703125,0.775414,0.811856,0.701299,0.714286
236,0.483005,0.383715,0.346795,0.362393,0.404571,0.484546,0.158416,0.148014
237,0.802945,0.69377,0.491569,0.654945,0.627755,0.576895,0.262626,0.17561
238,0.801471,0.788732,0.612188,0.721545,0.727533,0.701554,0.321622,0.302326
239,0.603279,0.567627,0.509346,0.414634,0.517685,0.445183,0.757143,0.736842
240,0.562044,0.613281,0.390476,0.34375,0.414414,0.356436,0.869565,0.740741
241,0.918478,0.859044,0.852349,0.89749,0.842105,0.794224,0.846491,0.856061
242,0.885305,0.865404,0.884366,0.905967,0.85689,0.804562,0.539924,0.88172
243,0.893258,0.918367,0.913043,0.911504,0.896104,0.87037,0.898305,0.916667
244,0.921053,0.888889,0.815603,0.882353,0.91358,0.887097,0.903226,0.944444
245,0.67031,0.72619,0.609712,0.701299,0.656584,0.665248,0.843373,0.791304
246,0.841814,0.824169,0.807783,0.868201,0.79465,0.749671,0.878613,0.87619
247,0.82568,0.832817,0.394393,0.851211,0.73789,0.345794,0.89749,0.901754
248,0.818182,0.802083,0.749067,0.840391,0.738318,0.640611,0.818854,0.751497
249,0.860689,0.84817,0.776105,0.889068,0.785179,0.682769,0.888686,0.895044
250,0.804719,0.803343,0.737452,0.878247,0.722578,0.638442,0.905028,0.846847
251,0.892308,0.905882,0.909091,0.940299,0.918033,0.859155,0.948276,0.827586
252,0.889655,0.895775,0.886792,0.898551,0.9,0.878378,0.915254,0.806452
253,0.648438,0.745552,0.653846,0.677165,0.612245,0.663717,0.838384,0.885246
254,0.807747,0.826024,0.790349,0.848315,0.787234,0.774691,0.904382,0.928144
255,0.560091,0.611386,0.385042,0.426174,0.451524,0.482759,0.841176,0.873786
256,0.613079,0.733931,0.448763,0.623016,0.524528,0.531157,0.830065,0.833333
257,0.59292,0.711388,0.446721,0.686441,0.491379,0.52381,0.833333,0.837838
258,0.780822,0.778302,0.704225,0.858824,0.391304,0.5,0.931818,0.821429
259,0.774648,0.798077,0.704225,0.892857,0.428571,0.5,0.930233,0.884615
260,0.774648,0.804878,0.720588,0.869048,0.578947,0.508772,0.97561,0.956522
261,0.811594,0.809756,0.757576,0.888889,0.526316,0.54717,0.904762,0.869565
262,0.761194,0.790816,0.454545,0.85,0.315789,0.254902,0.878049,0.809524
263,0.956204,0.954386,0.876712,0.91358,0.882353,0.939759,0.918919,0.974359
264,0.850299,0.861027,0.813725,0.851852,0.805825,0.872881,0.952941,0.95
265,0.9375,0.920181,0.930314,0.935961,0.907527,0.908549,0.903226,0.907407
266,0.417127,0.457467,0.558442,0.4125,0.387097,0.38125,0.226087,0.413333
267,0.694118,0.711443,0.660194,0.628571,0.456,0.655172,0.653846,0.846154
268,0.529412,0.662651,0.725,0.6875,0.4,0.416667,0.75,0.666667
269,0.797297,0.848485,0.793651,0.731707,0.717949,0.784091,0.944444,0.866667
270,0.71875,0.751678,0.822485,0.766082,0.679487,0.769231,0.928571,0.923077
271,0.825613,0.851604,0.868421,0.770642,0.765432,0.851648,0.914062,0.926471
272,0.825939,0.816176,0.817949,0.820988,0.720524,0.766716,0.895238,0.945455
273,0.809475,0.742034,0.762655,0.8413,0.735503,0.694629,0.887052,0.857868
274,0.673152,0.659274,0.594982,0.523529,0.553254,0.527624,0.776316,0.813953
275,0.759434,0.736607,0.598214,0.661972,0.607004,0.462069,0.833333,0.828571
276,0.396552,0.576471,0.333333,0.5,0.368421,0.428571,0.709677,0.692308
277,0.509091,0.371429,0.346154,0.348837,0.189655,0.62069,0.5,0.555556
278,0.47486,0.588235,0.445946,0.485149,0.345528,0.613043,0.327273,0.516129
279,0.362445,0.329268,0.17734,0.2,0.228883,0.441791,0.121622,0.078947
280,0.21021,0.122517,0.085911,0.144578,0.122066,0.184801,0.059406,0
281,0.446023,0.540157,0.333333,0.413408,0.370739,0.565978,0.327103,0.612245
282,0.470284,0.522759,0.326371,0.454545,0.352594,0.606771,0.621849,0.622951
283,0.365,0.394521,0.215938,0.348018,0.284404,0.55303,0.520325,0.460317
284,0.684507,0.676768,0.659884,0.723214,0.55414,0.598592,0.806818,0.793103
285,0.565731,0.520258,0.676617,0.740113,0.55776,0.275381,0.037815,0.051471
286,0.24183,0.197824,0.212329,0.343558,0.183673,0.077922,0.004115,0
287,0.393939,0.351852,0.391892,0.57377,0.289855,0.118644,0.026316,0.033333
288,0.375,0.489164,0.442396,0.593548,0.441001,0.427892,0.771028,0.731544
289,0.505338,0.691406,0.575916,0.793333,0.612903,0.521368,0.851064,0.857143
290,0.446009,0.635714,0.594406,0.702479,0.564202,0.639241,0.871795,0.94
291,0.453125,0.693931,0.738462,0.72973,0.668122,0.642384,0.882353,0.906977
292,0.73251,0.802198,0.839506,0.842105,0.730924,0.804878,0.894118,0.882353
293,0.831266,0.903084,0.906383,0.904977,0.838565,0.853333,0.671533,0.711111
294,0.874558,0.908619,0.871795,0.935065,0.8659,0.854257,0.642157,0.748252
295,0.421525,0.446034,0.381443,0.398524,0.341751,0.323826,0.493056,0.5
296,0.802281,0.827195,0.870968,0.918519,0.802372,0.870722,0.308824,0.195122
297,0.503106,0.502691,0.496252,0.498339,0.428571,0.491087,0.470588,0.504274
298,0.268817,0.4,0.1875,0.230769,0.285714,0.53125,0.765625,0.653846
299,0.431138,0.519481,0.274854,0.320144,0.552632,0.68985,0.535,0.598214
300,0.450617,0.536272,0.453933,0.309942,0.571429,0.650331,0.829431,0.787097
301,0.55973,0.53487,0.501377,0.360656,0.49865,0.542475,0.867621,0.88
302,0.355556,0.342342,0.391304,0.335766,0.310924,0.460094,0.718519,0.703704
303,0.95302,0.87585,0.910714,0.881988,0.915743,0.907173,0.938776,0.921569
304,0.894872,0.844875,0.851675,0.845411,0.871961,0.813846,0.982759,0.945205
305,0.924554,0.894904,0.869565,0.853535,0.892857,0.839429,0.916031,0.935065
306,0.922563,0.904724,0.876393,0.868159,0.89582,0.843246,0.941818,0.949686
307,0.861675,0.841592,0.828735,0.829439,0.841907,0.774841,0.927869,0.931818
308,0.83375,0.826291,0.787004,0.869458,0.774356,0.68199,0.925208,0.896175
309,0.851796,0.822535,0.67206,0.893372,0.763622,0.636917,0.957295,0.936306
310,0.803448,0.822771,0.662977,0.890675,0.739806,0.65221,0.93361,0.932836
311,0.597701,0.678571,0.378378,0.639344,0.5,0.346154,0.72973,0.615385
312,0.38911,0.360884,0.258794,0.241814,0.34315,0.457951,0.783251,0.703947
313,0.430291,0.404118,0.300752,0.365201,0.432,0.524103,0.761733,0.755981
314,0.398496,0.378508,0.342508,0.356557,0.506045,0.541266,0.8,0.751938
315,0.391645,0.379401,0.30742,0.321596,0.443723,0.481941,0.735043,0.712644
316,0.428571,0.38009,0.345763,0.314815,0.433898,0.41866,0.716216,0.583333
317,0.419689,0.387464,0.316964,0.340909,0.406114,0.474474,0.612903,0.645161
318,0.393548,0.37987,0.320856,0.302752,0.449198,0.475836,0.638298,0.458333
319,0.508772,0.484,0.510638,0.506024,0.503876,0.505376,0.880952,0.8
320,0.482456,0.547718,0.572464,0.688312,0.653226,0.452514,0.853659,0.866667
321,0.478261,0.432432,0.53012,0.735849,0.422222,0.409836,0.733333,0.727273
322,0.65625,0.597122,0.531646,0.895833,0.542857,0.509804,0.714286,0.818182
323,0.103659,0.196931,0.035294,0.058252,0.082474,0.155844,0.042254,0
324,0.123779,0.266983,0.042781,0.092896,0.138182,0.293532,0.101852,0.140351
325,0.086792,0.246766,0.0317,0.081761,0.168519,0.280435,0.069124,0.067308
326,0.193246,0.29778,0.126516,0.160976,0.228605,0.307645,0.050314,0.081851
327,0.120287,0.240256,0.14298,0.126761,0.213258,0.30321,0.048077,0.075
328,0.108604,0.21142,0.111675,0.134897,0.225536,0.271019,0.04721,0.036765
329,0.096552,0.174559,0.09949,0.054945,0.160763,0.229851,0.021978,0.048544
330,0.108059,0.246589,0.141732,0.108949,0.22792,0.306854,0.05848,0.077778
331,0.118712,0.291447,0.409091,0.145833,0.235484,0.364111,0.098039,0.089744
332,0.009174,0.491071,0.606061,0.575758,0.240741,0.247934,0.153846,0.125
333,0.337079,0.325707,0.670588,0.529183,0.331956,0.509412,0.158333,0.060241
334,0.336134,0.320823,0.577778,0.334532,0.297899,0.50496,0.15,0.037037
335,0.343284,0.35528,0.747104,0.483755,0.31901,0.529352,0.131579,0.025641
336,0.473934,0.527152,0.769392,0.651163,0.409673,0.562099,0.15534,0.046154
337,0.33887,0.335106,0.748538,0.67027,0.307517,0.36748,0.083333,0.057143
338,0.492908,0.51215,0.725309,0.640449,0.358911,0.455856,0.155556,0.03125
339,0.320312,0.247984,0.603226,0.432927,0.202667,0.220703,0.139535,0.058824
